2026-09-22 15:18:56.491394114 [V:onnxruntime:default, env.cc:678 GetRuntimePath] Getting runtime path as parent directory of binary: /home/hgtech/codes/pyml/.venv/lib/python3.14/site-packages/onnxruntime/capi/libonnxruntime.so.1.30.0
2026-09-22 15:18:56.491460141 [V:onnxruntime:default, env.cc:678 GetRuntimePath] Getting runtime path as parent directory of binary: /home/hgtech/codes/pyml/.venv/lib/python3.14/site-packages/onnxruntime/capi/libonnxruntime.so.1.30.0
2026-09-22 15:18:57.026728848 [I:onnxruntime:, inference_session.cc:764 TraceSessionOptions] Session Options {  execution_mode:0 execution_order:DEFAULT enable_profiling:0 optimized_model_filepath:"" enable_mem_pattern:1 enable_mem_reuse:1 enable_cpu_mem_arena:1 profile_file_prefix:onnxruntime_profile_ session_logid: session_log_severity_level:-1 session_log_verbosity_level:0 max_num_graph_transformation_steps:10 graph_optimization_level:4 intra_op_param:OrtThreadPoolParams { thread_pool_size: 1 auto_set_affinity: 0 allow_spinning: 1 spin_duration_us: -1 spin_backoff_max: 1 dynamic_block_base_: 0 stack_size: 0 affinity_str:  set_denormal_as_zero: 0 } inter_op_param:OrtThreadPoolParams { thread_pool_size: 0 auto_set_affinity: 0 allow_spinning: 1 spin_duration_us: -1 spin_backoff_max: 1 dynamic_block_base_: 0 stack_size: 0 affinity_str:  set_denormal_as_zero: 0 } use_per_session_threads:1 thread_pool_allow_spinning:1 use_deterministic_compute:0 ep_selection_policy:5 config_options: {  } }
2026-09-22 15:18:57.026764033 [I:onnxruntime:, inference_session.cc:526 operator()] Flush-to-zero and denormal-as-zero are off
2026-09-22 15:18:57.026773161 [I:onnxruntime:, inference_session.cc:534 ConstructorCommon] Creating and using per session threadpools since use_per_session_threads_ is true
2026-09-22 15:18:57.026779800 [I:onnxruntime:, inference_session.cc:579 ConstructorCommon] Dynamic block base set to 0
2026-09-22 15:18:57.027233554 [I:onnxruntime:, inference_session.cc:2610 Initialize] Initializing session.
2026-09-22 15:18:57.027253381 [I:onnxruntime:, inference_session.cc:2657 Initialize] Adding default CPU execution provider.
2026-09-22 15:18:57.027264068 [I:onnxruntime:default, bfc_arena.cc:28 BFCArena] Creating BFCArena for Cuda with following configs: initial_chunk_size_bytes: 1048576 max_dead_bytes_per_chunk: 134217728 initial_growth_chunk_size_bytes: 2097152 max_power_of_two_extend_bytes: 1073741824 memory limit: 18446744073709551615 arena_extend_strategy: 0
2026-09-22 15:18:57.027266240 [V:onnxruntime:default, bfc_arena.cc:65 BFCArena] Creating 21 bins of max chunk size 256 to 268435456
2026-09-22 15:18:57.027269662 [I:onnxruntime:default, bfc_arena.cc:28 BFCArena] Creating BFCArena for CudaPinned with following configs: initial_chunk_size_bytes: 1048576 max_dead_bytes_per_chunk: 134217728 initial_growth_chunk_size_bytes: 2097152 max_power_of_two_extend_bytes: 1073741824 memory limit: 18446744073709551615 arena_extend_strategy: 0
2026-09-22 15:18:57.027271007 [V:onnxruntime:default, bfc_arena.cc:65 BFCArena] Creating 21 bins of max chunk size 256 to 268435456
2026-09-22 15:18:57.027275071 [I:onnxruntime:default, bfc_arena.cc:28 BFCArena] Creating BFCArena for Cpu with following configs: initial_chunk_size_bytes: 1048576 max_dead_bytes_per_chunk: 134217728 initial_growth_chunk_size_bytes: 2097152 max_power_of_two_extend_bytes: 1073741824 memory limit: 18446744073709551615 arena_extend_strategy: 0
